term_code,term,course_id,course_number,professor,total_students,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,A_count,B_count,C_count,D_count,F_count,avg_gpa
201803,Spring 2019,CIS 572,572,"Nguyen, Thien Huu",15,3,3,2,2,3,2,0,0,0,0,0,0,0,8,7,0,0,0,3.493
201803,Spring 2019,CIS 630,630,"Rejaie, Reza",12,1,0,3,3,0,3,0,1,1,0,0,0,0,4,6,2,0,0,3.067
201804,Summer 2019,CIS 110,110,"Hu, Zhangxiang",10,3,3,1,0,1,0,1,0,0,0,0,0,1,7,1,1,0,1,3.3
201804,Summer 2019,CIS 111,111,"Hennessy, Michael Shane",20,1,5,2,1,5,0,2,1,1,0,1,0,1,8,6,4,1,1,2.95
201804,Summer 2019,CIS 122,122,"Corso, Amie Jayne",15,5,3,3,1,2,0,0,0,0,0,0,0,1,11,3,0,0,1,3.493
201804,Summer 2019,CIS 199,199,"Matthews, Kelli Irene",67,15,23,10,5,4,3,1,2,0,0,0,0,4,48,12,3,0,4,3.461
201804,Summer 2019,CIS 212,212,"Sventek, Joseph Sherman",14,0,2,1,1,2,4,0,1,2,0,0,0,1,3,7,3,0,1,2.657
201804,Summer 2019,CIS 399,399,"Bird, Brian Arnett",13,5,1,1,1,1,1,0,0,2,0,0,0,1,7,3,2,0,1,3.085
201804,Summer 2019,CIS 399,399,"VanDevender, Steven E",13,0,7,0,0,5,0,0,0,0,0,0,0,1,7,5,0,0,1,3.308
201901,Fall 2019,CIS 110,110,"Hennessy, Michael Shane",176,19,55,6,7,45,10,6,19,1,0,2,2,4,80,62,26,4,4,3.183
201901,Fall 2019,CIS 111,111,"Little, Ronald Kent",127,14,41,13,7,23,10,2,7,2,1,2,0,5,68,40,11,3,5,3.248
201901,Fall 2019,CIS 122,122,"Colbert, Phillip Dean",151,0,60,27,11,14,10,6,4,6,0,3,0,10,87,35,16,3,10,3.18
201901,Fall 2019,CIS 199,199,"Wilkins, David A",22,7,7,4,1,1,0,0,0,1,0,0,1,0,18,2,1,1,0,3.614
201901,Fall 2019,CIS 199,199,"Wu, Yanwei",8,1,2,0,0,3,0,0,0,0,0,0,0,2,3,3,0,0,2,2.625
201901,Fall 2019,CIS 210,210,"Freeman Hennessy, Kathleen",139,3,21,11,12,28,7,4,13,7,0,16,0,17,35,47,24,16,17,2.463
201901,Fall 2019,CIS 212,212,"Childs, Henry Roberts",66,2,21,6,9,10,7,0,3,1,0,4,0,3,29,26,4,4,3,3.098
201901,Fall 2019,CIS 313,313,"Lowd, Daniel Baruch",78,3,11,10,10,19,6,4,10,1,0,0,1,3,24,35,15,1,3,2.959
201901,Fall 2019,CIS 314,314,"Wills, Eric David",71,6,18,10,23,0,4,2,1,3,1,0,0,3,34,27,6,1,3,3.277
201901,Fall 2019,CIS 322,322,"Durairajan, Ramakrishnan",28,0,7,1,2,2,2,2,4,1,3,0,1,3,8,6,7,4,3,2.45
201901,Fall 2019,CIS 399,399,"Li, Jun",15,0,1,7,2,1,2,2,0,0,0,0,0,0,8,5,2,0,0,3.3
201901,Fall 2019,CIS 415,415,"Malony, Allen",51,0,9,3,4,12,5,7,6,2,1,0,0,2,12,21,15,1,2,2.796
201901,Fall 2019,CIS 420,420,"Wilson, Christopher",11,0,5,0,2,2,1,0,1,0,0,0,0,0,5,5,1,0,0,3.391
201901,Fall 2019,CIS 422,422,"Sventek, Joseph Sherman",29,0,5,7,10,3,2,0,1,0,0,0,0,1,12,15,1,0,1,3.286
201901,Fall 2019,CIS 425,425,"Ariola, Zena",38,0,1,3,10,11,0,0,3,5,0,5,0,0,4,21,8,5,0,2.647
201901,Fall 2019,CIS 432,432,"Rejaie, Reza",12,0,1,2,2,2,1,1,1,0,0,0,1,1,3,5,2,1,1,2.642
201901,Fall 2019,CIS 443,443,"Hornof, Anthony J",11,0,0,3,2,0,2,2,1,0,0,0,0,1,3,4,3,0,1,2.7
201901,Fall 2019,CIS 451,451,"Wilson, Christopher",50,1,32,1,4,9,2,1,0,0,0,0,0,0,34,15,1,0,0,3.672
201901,Fall 2019,CIS 471,471,"Nguyen, Thanh Hong",24,0,4,7,7,2,4,0,0,0,0,0,0,0,11,13,0,0,0,3.408
201901,Fall 2019,CIS 510,510,"Nguyen, Thien Huu",11,0,3,4,0,2,1,0,1,0,0,0,0,0,7,3,1,0,0,3.409
201901,Fall 2019,CIS 571,571,"Nguyen, Thanh Hong",11,0,5,1,2,1,2,0,0,0,0,0,0,0,6,5,0,0,0,3.518
201901,Fall 2019,CIS 631,631,"Choi, Jee Whan",12,3,0,2,3,3,1,0,0,0,0,0,0,0,5,7,0,0,0,3.417
201902,Winter 2020,CIS 110,110,"Little, Ronald Kent",183,37,50,27,15,31,6,4,7,3,1,0,0,2,114,52,14,1,2,3.477
201902,Winter 2020,CIS 111,111,"Hennessy, Michael Shane",130,31,35,8,2,32,0,5,13,1,0,0,0,3,74,34,19,0,3,3.349
201902,Winter 2020,CIS 122,122,"Colbert, Phillip Dean",130,9,34,11,11,21,13,6,9,3,3,5,0,5,54,45,18,8,5,3.022
201902,Winter 2020,CIS 199,199,"Wilkins, David A",13,2,8,1,1,0,1,0,0,0,0,0,0,0,11,2,0,0,0,3.823
201902,Winter 2020,CIS 210,210,"Erickson, Brittany Angela",140,0,25,7,38,9,17,18,5,5,6,1,0,9,32,64,28,7,9,2.806
201902,Winter 2020,CIS 211,211,"Young, Michal Terry",93,0,60,11,2,7,0,0,8,0,0,1,0,4,71,9,8,1,4,3.498
201902,Winter 2020,CIS 313,313,"Nguyen, Thien Huu",58,1,6,9,9,11,10,5,6,0,0,0,0,1,16,30,11,0,1,3.009
201902,Winter 2020,CIS 314,314,"Wills, Eric David",53,4,8,5,9,7,8,5,0,1,0,0,0,6,17,24,6,0,6,2.868
201902,Winter 2020,CIS 315,315,"Jiao, Lei",64,0,14,7,6,8,12,4,2,5,1,1,3,1,21,26,11,5,1,2.878
201902,Winter 2020,CIS 330,330,"Choi, Jee Whan",48,20,7,4,2,5,4,1,0,1,0,2,0,2,31,11,2,2,2,3.358
