course_id,course_number,professor,total_students,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,A_count,B_count,C_count,D_count,F_count,avg_gpa
CIS 399,399,"Sane, Sudhanshu Sanjay",15,0,6,3,0,2,4,0,0,0,0,0,0,0,9,6,0,0,0,3.46
CIS 399,399,"VanDevender, Steven E",66,0,31,15,5,9,3,0,0,1,0,0,0,2,46,17,1,0,2,3.527
CIS 399,399,"Young, Michal Terry",36,3,8,0,1,13,0,0,7,0,0,0,0,4,11,14,7,0,4,2.786
CIS 410,410,"Augustine, Charles Martel",10,1,2,0,0,1,4,0,1,1,0,0,0,0,3,5,2,0,0,2.95
CIS 410,410,"Childs, Henry Roberts",138,14,56,15,14,17,4,5,9,1,0,0,0,3,85,35,15,0,3,3.44
CIS 410,410,"Li, Yingjiu",7,0,4,2,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,3.814
CIS 410,410,"Lowd, Daniel Baruch",23,2,3,1,1,5,3,3,0,2,1,0,1,1,6,9,5,2,1,2.713
CIS 410,410,"Nguyen, Thanh Hong",12,1,5,0,2,1,0,1,1,1,0,0,0,0,6,3,3,0,0,3.3
CIS 410,410,"Nguyen, Thien Huu",10,0,1,1,3,0,3,0,0,2,0,0,0,0,2,6,2,0,0,2.91
CIS 410,410,"Rejaie, Reza",14,2,0,1,4,2,2,0,1,0,1,0,1,0,3,8,1,2,0,2.879
CIS 410,410,"Stevens, Kent A",33,1,9,10,5,8,0,0,0,0,0,0,0,0,20,13,0,0,0,3.561
CIS 410,410,"Wills, Eric David",309,18,134,72,38,30,5,5,2,3,0,0,1,1,224,73,10,1,1,3.639
CIS 413,413,"Proskurowski, Andrzej",33,4,5,4,1,1,7,1,3,3,0,1,0,3,13,9,7,1,3,2.739
CIS 413,413,"Wilson, Christopher",59,8,15,6,12,9,3,0,3,0,0,1,0,2,29,24,3,1,2,3.32
CIS 415,415,"Malony, Allen",342,0,54,36,35,72,34,26,33,23,9,8,3,9,90,141,82,20,9,2.805
CIS 415,415,"Sventek, Joseph Sherman",294,17,44,26,48,36,47,34,15,16,1,2,3,5,87,131,65,6,5,2.974
CIS 420,420,"Wilson, Christopher",101,5,30,7,12,15,13,6,5,4,0,3,0,1,42,40,15,3,1,3.16
CIS 422,422,"Faulk, Stuart",180,7,19,39,44,25,14,15,9,4,0,3,0,1,65,83,28,3,1,3.159
CIS 422,422,"Flores, Juan Jose",70,3,22,16,11,14,3,0,0,0,0,0,0,1,41,28,0,0,1,3.509
CIS 422,422,"Hornof, Anthony J",224,7,29,28,33,50,23,26,14,5,0,2,0,7,64,106,45,2,7,2.977
CIS 422,422,"Sventek, Joseph Sherman",62,0,9,17,19,7,6,2,1,0,0,0,0,1,26,32,3,0,1,3.313
CIS 422,422,"Young, Michal Terry",92,3,35,22,3,22,0,0,5,0,0,1,0,1,60,25,5,1,1,3.482
CIS 423,423,"Faulk, Stuart",24,1,9,5,0,6,2,0,0,1,0,0,0,0,15,8,1,0,0,3.483
CIS 423,423,"Fickas, Stephen F",12,5,4,0,1,1,0,0,1,0,0,0,0,0,9,2,1,0,0,3.692
CIS 425,425,"Ariola, Zena",714,21,84,61,101,119,63,55,69,61,1,50,2,27,166,283,185,53,27,2.699
CIS 427,427,"Ariola, Zena",21,0,3,2,8,5,2,0,0,1,0,0,0,0,5,15,1,0,0,3.233
CIS 429,429,"Kinsy, Michel Ako",15,1,2,4,2,1,1,0,2,0,0,2,0,0,7,4,2,2,0,3.007
CIS 431,431,"Choi, Jee Whan",11,0,1,4,2,1,2,0,1,0,0,0,0,0,5,5,1,0,0,3.255
CIS 431,431,"Malony, Allen",33,0,8,2,6,6,3,3,1,4,0,0,0,0,10,15,8,0,0,3.061
CIS 432,432,"Li, Jun",82,2,5,10,12,25,15,7,1,4,0,0,0,1,17,52,12,0,1,2.988
CIS 432,432,"Rejaie, Reza",61,3,7,5,9,8,6,7,5,4,2,1,1,3,15,23,16,4,3,2.715
