course_id,course_number,professor,total_students,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,A_count,B_count,C_count,D_count,F_count,avg_gpa
AAD 199,199,"Abia-Smith, Lisa Marie",20,0,11,6,1,0,1,0,0,0,0,0,0,1,17,2,0,0,1,3.61
AAD 199,199,"Voelker-Morris, Julie Louise",12,2,5,0,1,2,0,0,0,2,0,0,0,0,7,3,2,0,0,3.392
AAD 250,250,"Abia-Smith, Lisa Marie",49,0,41,4,2,1,1,0,0,0,0,0,0,0,45,4,0,0,0,3.9
AAD 250,250,"Ballard, Catherine Marie",119,0,33,53,20,8,1,4,0,0,0,0,0,0,86,29,4,0,0,3.613
AAD 250,250,"Blandy, Douglas",70,0,30,20,0,5,2,0,6,2,0,0,0,5,50,7,8,0,5,3.283
AAD 250,250,"Bretz, David Le Roy",192,0,110,34,15,9,10,3,2,4,0,0,0,5,144,34,9,0,5,3.578
AAD 250,250,"Bukowski, Michael Alan",77,0,49,12,6,6,3,0,0,0,0,0,0,1,61,15,0,0,1,3.718
AAD 250,250,"Gurley, Gregory C",452,0,323,50,27,18,14,6,3,3,3,1,1,3,373,59,12,5,3,3.735
AAD 250,250,"Huette, Scott Edward",157,0,83,8,8,42,1,0,10,1,1,1,0,2,91,51,11,2,2,3.444
AAD 250,250,"Redaelli, Eleonora",67,0,37,18,8,2,1,0,0,0,0,0,0,1,55,11,0,0,1,3.727
AAD 250,250,"Tanenbaum, Elizabeth Ann",56,0,31,10,4,3,4,1,0,0,0,0,0,3,41,11,1,0,3,3.505
AAD 250,250,"Turner, David Graves",311,0,196,43,20,29,11,0,7,2,1,0,0,2,239,60,9,1,2,3.68
AAD 251,251,"Bretz, David Le Roy",344,0,204,51,25,19,11,4,7,9,2,1,1,10,255,55,20,4,10,3.537
AAD 251,251,"Bukowski, Michael Alan",249,0,124,66,21,14,10,4,4,3,0,1,0,2,190,45,11,1,2,3.622
AAD 251,251,"Gurley, Gregory C",560,11,316,91,36,32,16,15,12,12,4,2,2,11,418,84,39,8,11,3.554
AAD 251,251,"Turner, David Graves",151,0,91,10,11,17,8,2,10,0,0,0,0,2,101,36,12,0,2,3.54
AAD 251,251,"Voelker-Morris, Robert Jack",24,0,5,3,0,5,3,2,2,3,0,0,0,1,8,8,7,0,1,2.829
AAD 252,252,"Gurley, Gregory C",138,0,88,23,4,5,7,2,1,2,0,0,4,2,111,16,5,4,2,3.601
AAD 252,252,"Tanenbaum, Elizabeth Ann",421,0,174,115,36,35,25,11,6,6,2,1,2,8,289,96,23,5,8,3.481
AAD 252,252,"Voelker-Morris, Julie Louise",506,0,88,122,67,69,63,22,27,17,3,5,1,22,210,199,66,9,22,3.053
AAD 301,301,"Bretz, David Le Roy",181,0,101,31,5,9,9,4,8,5,1,1,1,6,132,23,17,3,6,3.443
AAD 301,301,"Huette, Scott Edward",34,0,8,9,3,6,4,2,1,0,0,0,1,0,17,13,3,1,0,3.274
AAD 301,301,"Kreps, Christina Faye",45,0,12,6,4,3,7,6,1,2,0,1,0,3,18,14,9,1,3,2.922
AAD 301,301,"Lambert, Patricia Dewey",28,0,3,6,9,2,3,2,1,0,0,2,0,0,9,14,3,2,0,3.093
AAD 301,301,"Voelker-Morris, Julie Louise",14,0,1,4,2,4,0,0,1,2,0,0,0,0,5,6,3,0,0,3.057
AAD 312,312,"Redaelli, Eleonora",125,0,70,30,11,4,4,2,1,0,0,1,0,2,100,19,3,1,2,3.662
AAD 312,312,"Tanenbaum, Elizabeth Ann",59,0,26,13,10,5,1,2,0,2,0,0,0,0,39,16,4,0,0,3.573
AAD 315,315,"Huette, Scott Edward",55,0,18,20,10,3,2,1,0,0,0,0,0,1,38,15,1,0,1,3.558
AAD 315,315,"Kau, Darrel Lee",16,0,10,1,0,5,0,0,0,0,0,0,0,0,11,5,0,0,0,3.669
AAD 410,410,"Abia-Smith, Lisa Marie",23,0,17,1,0,0,1,1,1,1,0,0,0,1,18,1,3,0,1,3.496
AAD 410,410,"Turner, David Graves",14,0,4,8,1,1,0,0,0,0,0,0,0,0,12,2,0,0,0,3.707
